doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_6,0.003709247964257717,6
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_7,0.0017672209700860264,7
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_8,2.3180232089766768e-4,8
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_9,0.9928566763834918,9
Budget_Speech_2020-21,2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,topic_10,4.6819586309771274e-4,10
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_1,7.811407476313667e-6,1
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_2,5.46867872281586e-4,2
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_3,1.423343967540133e-4,3
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_4,1.9629454858187505e-6,4
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_5,2.962678185465896e-4,5
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_6,0.5826311641032442,6
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_7,1.2471285539432167e-4,7
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_8,1.3790546649562906e-4,8
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_9,0.03654401252475707,9
bs200304,2003-04,2003,full,Jaswant Singh,BJP,BJP,topic_10,0.37956696060956446,10
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_1,5.7691685502806334e-5,1
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_2,3.753901446572705e-5,2
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_3,0.0016111602494440287,3
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_4,3.556548015987006e-4,4
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_5,2.0854174953680705e-4,5
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_6,4.221994973663397e-4,6
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_7,1.288626805678477e-4,7
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_8,1.370313689415629e-4,8
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_9,0.9964382888145414,9
bs201920,2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,topic_10,6.030301380349917e-4,10
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_1,1.8913183485969796e-5,1
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_2,1.7230218875494917e-5,2
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_3,3.278242278614611e-5,3
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_4,6.195178461778335e-5,4
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_5,3.126531058507127e-5,5
Budget_Speech_2023-24,2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,topic_6,2.6264834688392944e-4,6
