word,es_tf,bs_tf,year,shared
rate,0.004093925472179683,0.006876338631495885,2020,0.004093925472179683
financial,0.003603879530372639,0.0034945327471536465,2020,0.0034945327471536465
services,0.004461459928534967,0.003043625295908015,2020,0.003043625295908015
economy,0.003144461459928535,0.002705444707473791,2020,0.002705444707473791
credit,0.0028688106176620724,0.002592717844662383,2020,0.002592717844662383
health,0.002480857580398162,0.002930898433096607,2020,0.002480857580398162
infrastructure,0.002307299642674834,0.0032690790215308308,2020,0.002307299642674834
tax,0.0022868810617662073,0.016232668244842745,2020,0.0022868810617662073
country,0.0030321592649310875,0.0022545372562281594,2020,0.0022545372562281594
development,0.0022460438999489536,0.005072708826513358,2020,0.0022460438999489536
investment,0.002470648289943849,0.002141810393416751,2020,0.002141810393416751
sector,0.006055907772132079,0.005356407086938607,2021,0.005356407086938607
health,0.004252183657491979,0.0038456256008790003,2021,0.0038456256008790003
public,0.0033081067804675867,0.004120313143798929,2021,0.0033081067804675867
rate,0.0033771855763474203,0.003296250515039143,2021,0.003296250515039143
capital,0.003085519549299234,0.004807032001098751,2021,0.003085519549299234
development,0.0024331086993230277,0.0035709380579590716,2021,0.0024331086993230277
time,0.0023333282163854902,0.00288421920065925,2021,0.0023333282163854902
investment,0.0022642494205056566,0.0026095316577393213,2021,0.0022642494205056566
financial,0.002248898576976805,0.003708281829419036,2021,0.002248898576976805
expenditure,0.0020877147199238597,0.002197500343359429,2021,0.0020877147199238597
country,0.0020953901416882856,0.0020601565718994645,2021,0.0020601565718994645
period,0.0026326696651981026,0.0020601565718994645,2021,0.0020601565718994645
growth,0.004698325849713045,0.0037798251830852823,2022,0.0037798251830852823
sector,0.0072110380921228704,0.003543586109142452,2022,0.003543586109142452
infrastructure,0.0034642719081744923,0.006142215922513584,2022,0.0034642719081744923
scheme,0.003895447381724107,0.003071107961256792,2022,0.003071107961256792
services,0.006482500223021797,0.003071107961256792,2022,0.003071107961256792
capital,0.002869547117071575,0.007795889440113395,2022,0.002869547117071575
financial,0.002869547117071575,0.0044885424049137725,2022,0.002869547117071575
development,0.0026911296797407,0.0063784549964564135,2022,0.0026911296797407
management,0.0023640310446340954,0.0025986298133711316,2022,0.0023640310446340954
public,0.0023491629248565227,0.0044885424049137725,2022,0.0023491629248565227
investment,0.0021558773677480747,0.005905976848570754,2022,0.0021558773677480747
pandemic,0.0031817776324006065,0.002126151665485471,2022,0.002126151665485471
rate,0.0026465253204079812,0.002126151665485471,2022,0.002126151665485471
financial,0.005180041087430524,0.005463576158940398,2023,0.005180041087430524
infrastructure,0.004499451747476148,0.004470198675496689,2023,0.004470198675496689
development,0.004096139546021703,0.006125827814569536,2023,0.004096139546021703
scheme,0.0037936553949308696,0.00347682119205298,2023,0.00347682119205298
sector,0.00686891093102101,0.00347682119205298,2023,0.00347682119205298
rate,0.00325170462422646,0.0039735099337748344,2023,0.00325170462422646
digital,0.0031508765738628487,0.0033112582781456954,2023,0.0031508765738628487
services,0.00496578148040785,0.002980132450331126,2023,0.002980132450331126
capital,0.0029618239794310776,0.0041390728476821195,2023,0.0029618239794310776
credit,0.0028988064479538206,0.0033112582781456954,2023,0.0028988064479538206
investment,0.002646736322044793,0.0026490066225165563,2023,0.002646736322044793
public,0.0022308206142948967,0.0024834437086092716,2023,0.0022308206142948967
sector,0.0069694831369440605,0.005788313120176406,2024,0.005788313120176406
financial,0.004736541937728973,0.006063947078280044,2024,0.004736541937728973
development,0.004543213695372688,0.01350606394707828,2024,0.004543213695372688
services,0.005722515973746025,0.004410143329658214,2024,0.004410143329658214
energy,0.0041178915621888626,0.004134509371554576,2024,0.0041178915621888626
infrastructure,0.003808566374418807,0.004685777287761852,2024,0.003808566374418807
market,0.00351857401088438,0.0027563395810363835,2024,0.0027563395810363835
employment,0.002551932799102957,0.005788313120176406,2024,0.002551932799102957
industry,0.0025325999748673283,0.0027563395810363835,2024,0.0025325999748673283
capital,0.0024939343263960714,0.004685777287761852,2024,0.0024939343263960714
policy,0.0024842679142782573,0.0027563395810363835,2024,0.0024842679142782573
growth,0.006234835815990179,0.0024807056229327455,2024,0.0024807056229327455
sector,0.0062774926686217005,0.007489597780859916,2025,0.0062774926686217005
global,0.0054412573313782995,0.004438280166435506,2025,0.004438280166435506
development,0.004261363636363636,0.0063800277392510405,2025,0.004261363636363636
financial,0.004456103372434018,0.004160887656033287,2025,0.004160887656033287
infrastructure,0.0030585593841642228,0.005270457697642164,2025,0.0030585593841642228
employment,0.0027378115835777128,0.003883495145631068,2025,0.0027378115835777128
growth,0.007354288856304986,0.0024965325936199723,2025,0.0024965325936199723
credit,0.0022910557184750734,0.0049930651872399446,2025,0.0022910557184750734
rural,0.002279600439882698,0.004160887656033287,2025,0.002279600439882698
economy,0.0022337793255131967,0.0027739251040221915,2025,0.0022337793255131967
education,0.0026461693548387095,0.002219140083217753,2025,0.002219140083217753
manufacturing,0.002187958211143695,0.005547850208044383,2025,0.002187958211143695
