doc_id,s_socialist,s_capitalist,s_globalist,s_nationalist,s_agrarian,s_industrial,axis_market,axis_nationalist,budget_year,fy_start,budget_type,fm_name,fm_party_family,words_clean,party,axis_market_z,axis_nationalist_z
bs197475_july_,0.001969152793205947,0.0019270173248491919,0,0.004475549602654031,0.002128116397856974,0.0025209109206747117,-4.213546835675529e-5,0.004475549602654031,1974-75,1974,special,Yashwantrao Chavan,INC,4426,INC,-0.03713704689102749,1.7916341820548831
bs194950,0.001587329824645777,0.004294938684521759,0.003094080480044852,7.581148950740403e-4,3.9737579457767546e-4,0.0042050978756072825,0.0027076088598759814,-0.0023359655849708116,1949-50,1949,full,John Mathai,INC,11305,INC,0.5141170111034787,-1.7938186465482568
bs196566,6.052008449896121e-4,0.00458378022469797,0,0.001308679563638551,0.0015848340905668032,0.006184665892168246,0.003978579379708358,0.001308679563638551,1965-66,1965,full,T.T. Krishnamachari,INC,11644,INC,0.7689143933383858,0.1246536606232146
bs196768,0.005712248940000669,0.005729152988232952,0,0.003573883640952386,0.005946789715806941,0.0059378084397051,1.690404823228263e-5,0.003573883640952386,1967-68,1967,full,Morarji Desai,INC,12336,INC,-0.025301119904078004,1.3170142650778454
bs200708,0.008156377521515101,0.0037377291422998806,0.0011349443039114654,3.382089275854772e-4,0.005535906974405882,0.002722903724525203,-0.004418648379215221,-7.967353763259882e-4,2007-08,2007,full,P. Chidambaram,INC,12443,INC,-0.9145169826200481,-0.983596962614614
bs196263,0.00616012615486273,0.00550853244360173,0,5.873915623972686e-4,4.696309301517293e-4,0.00241315632890572,-6.515937112610004e-4,5.873915623972686e-4,1962-63,1962,full,Morarji Desai,INC,7725,INC,-0.1593179806344539,-0.2550187078663348
bs196465,0.007003392894673009,0.0053289993495206685,0,0.0012221517474057546,0.0013849609055410197,0.0035029182731362994,-0.0016743935451523405,0.0012221517474057546,1964-65,1964,full,T.T. Krishnamachari,INC,12688,INC,-0.3643634291002309,0.07910705389636191
bs197374,0.007962982577976842,0.001790787999349457,0.0012330311324949537,0.003063140632555868,0.010368162236793084,0.0038523056704607953,-0.006172194578627385,0.0018301095000609145,1973-74,1973,full,Yashwantrao Chavan,INC,10082,INC,-1.2660585599157328,0.3991245219464835
bs197475,0.0020054909282915478,0.001619933540912451,7.405461300077939e-4,0.002164624782100704,0.007740507417870832,0.00868600971641205,-3.855573873790968e-4,0.0014240786520929101,1974-75,1974,full,Yashwantrao Chavan,INC,7751,INC,-0.10598443918185838,0.18539755925954457
Budget_Speech_2025-26,0.002596790598746085,0.012362237046415224,0.0028928270800431394,0.0025602254840755992,0.005652246039409319,0.008409730999085362,0.009765446447669138,-3.3260159596754015e-4,2025-26,2025,full,Nirmala Sitharaman,BJP,7552,BJP,1.929034598527931,-0.7392857147060935
bs194849,0.0029026477075221875,0.001981953285562702,0.0038428315705246983,0.0017959739671256248,5.611733850213328e-4,0.002265658567022448,-9.206944219594857e-4,-0.0020468576033990738,1948-49,1948,full,R.K. Shanmukham Chetty,INC,15068,INC,-0.21326585399076908,-1.6416376704004836
bs,0.006110979886095957,0.005393182781930692,0,8.069697555865612e-4,0.001244159388047119,0.00658658856207433,-7.17797104165265e-4,8.069697555865612e-4,NA,2014,full,P. Chidambaram,INC,6432,INC,-0.172590083286607,-0.1394368979189006
bs201314,0.006110979886095957,0.005393182781930692,0,8.069697555865612e-4,0.001244159388047119,0.00658658856207433,-7.17797104165265e-4,8.069697555865612e-4,2013-14,2013,full,P. Chidambaram,INC,6432,INC,-0.172590083286607,-0.1394368979189006
bs195051,0.0033656323993932675,0.004074301948231373,0.004585404674978173,0.001435098867874919,9.232676239286933e-5,0.0014486061876045216,7.086695488381059e-4,-0.003150305807103254,1950-51,1950,full,C.D. Deshmukh,INC,10246,INC,0.11338033330384542,-2.22247194503825
bs195354,0.004599096276990699,0.003221554085415715,8.73335662118042e-4,0.0010847034859188785,7.063524863586399e-4,0.003061178321094928,-0.001377542191574984,2.1136782380083653e-4,1953-54,1953,full,C.D. Deshmukh,INC,9722,INC,-0.3048522550610606,-0.4529504954401102
Budget_Speech_2022-23,0.002719170099742624,0.004672021837436335,0.0011663903451135835,0.0055768392815102805,0.004876277355903994,0.006450705551417571,0.001952851737693711,0.004410448936396697,2022-23,2022,full,Nirmala Sitharaman,BJP,8797,BJP,0.36280733400683174,1.7573664220122458
Budget_Speech_2024-25,0.005973946637683913,0.00791666790631164,0.003227554942574111,0.0019757751476943424,0.006597810243948659,0.008167893822319479,0.0019427212686277274,-0.0012517797948797685,2024-25,2024,full,Nirmala Sitharaman,BJP,7554,BJP,0.36077643166995865,-1.2231237422961605
bs195152,0.0025420127442197524,0.0029174455489482964,0.0010014648681803873,7.950949593696174e-4,0.0010186167941289585,0.004160253427549992,3.75432804728544e-4,-2.063699088107699e-4,1951-52,1951,full,C.D. Deshmukh,INC,12622,INC,0.04657481048589827,-0.6728397408942949
bs195556,0.0034957007678830306,0.002193020948091916,0.002370828887144222,0.001841889225890489,0.0034005024871336283,0.006575734574234666,-0.0013026798197911145,-5.28939661253733e-4,1955-56,1955,full,C.D. Deshmukh,INC,12119,INC,-0.28984424656614916,-0.8426343606610792
bs195657,0.0021388325814187367,0.0033498212552177287,0,7.757546474704897e-4,0.0023436594450131384,0.008579733778521939,0.001210988673798992,7.757546474704897e-4,1956-57,1956,full,T.T. Krishnamachari,INC,13151,INC,0.21408258885532983,-0.15586794073493343
bs196061,0.0020965340302615035,0.007299443495030914,0,5.3430465965632e-4,0.0017300192077212954,0.007476053354126107,0.005202909464769411,5.3430465965632e-4,1960-61,1960,full,Morarji Desai,INC,9614,INC,1.0143615502922232,-0.2829626499043889
